p_vehicle,p_connected,connected_fuel,ordinary_fuel,overall_fuel,connected_time,ordinary_time,overall_time
0.1,0.1,36858.84809812307,37125.1958056923,37109.72775663008,46.507429612870794,47.03726812519345,47.00610274559805
0.1,0.3,35334.847274589454,35546.11032605242,35488.675114721445,45.01255825838872,44.68710854992336,44.78610137535493
0.1,0.5,35035.77442784155,34911.99914486445,35010.36570864309,44.49227135187251,44.24020006086168,44.404322043701036
0.1,0.7,35882.020711545236,34107.232293387824,35338.9377774,45.358384027611606,43.57816480953361,44.81980158484271
0.1,0.9,36504.70730496788,34912.4662627538,36433.93871467975,46.2125981803146,44.400753968253966,46.13959638002042
0.1,1.0,35389.702164845716,nan,35389.702164845716,44.24837680620402,nan,44.24837680620402
0.3,0.1,48319.318128533916,47843.24504142327,47879.42187272843,62.936418652940894,62.08167794847412,62.148059644616964
0.3,0.3,47634.19128371245,46286.061797148184,46697.983115658324,61.79465772948377,59.923651254662296,60.49987102839883
0.3,0.5,47822.69207868982,47500.44282027747,47652.47183509075,61.910166616533715,61.43312079275099,61.65904347990513
0.3,0.7,47951.63203421882,48045.988984198186,47982.97567649557,61.80489678682037,62.399580832711216,61.991069225876416
0.3,0.9,45832.155944486716,46098.4190520752,45888.66485983121,59.49775404053314,59.85515065893217,59.56318860713748
0.3,1.0,48298.42706586748,nan,48298.42706586748,62.284206570979336,nan,62.284206570979336
0.5,0.1,69350.63093344717,69285.69612147026,69285.83439884623,88.98235438877823,89.02314233093162,89.01231291032238
0.5,0.3,71048.73622035538,71385.85521182753,71295.60062223552,91.31637213893704,91.54060158687375,91.48400384728622
0.5,0.5,68744.52765153351,69653.57299074883,69193.9065596418,88.15172323344862,89.36502170715946,88.75328645057087
0.5,0.7,68709.15330057374,68514.85323758598,68651.2597595679,88.04727901004763,87.6763997838112,87.94580932804548
0.5,0.9,72096.40750659621,72626.75273118849,72142.27957329308,92.76673791853776,93.18976003215373,92.80416490497848
0.5,1.0,69993.03924896127,nan,69993.03924896127,89.9897457430743,nan,89.9897457430743
